Unnamed: 0,indonesian,english,contoh_penggunaan
86,antisipasi,anticipation,Kita perlu antisipasi kemungkinan terburuk.
87,api,blaze,Api unggun menghangatkan malam kami.
88,api,fire,Api unggun menghangatkan malam kami.
89,api,flame,Api unggun menghangatkan malam kami.
90,api,light,Api unggun menghangatkan malam kami.
91,apresiasi,appreciation,Saya berikan apresiasi atas kerjasamamu.
92,asing,alien,Jangan mudah percaya pada orang asing.
93,asing,different,Jangan mudah percaya pada orang asing.
94,asing,exotic,Jangan mudah percaya pada orang asing.
95,asing,foreign,Jangan mudah percaya pada orang asing.
96,asing,non-native,Jangan mudah percaya pada orang asing.
97,asing,strange,Jangan mudah percaya pada orang asing.
98,asyik,fun,Mereka sedang asyik bermain game.
99,asyik,hooray,Mereka sedang asyik bermain game.
100,asyik,yay,Mereka sedang asyik bermain game.
101,badass,alpha,Penampilannya di panggung sangat badass.
102,badass,awesome,Penampilannya di panggung sangat badass.
103,badass,badass,Penampilannya di panggung sangat badass.
104,badass,chad,Penampilannya di panggung sangat badass.
105,bagi,divide,Kue ini harus dibagi rata.
106,bagi,for,Kue ini harus dibagi rata.
107,bagi,give away,Kue ini harus dibagi rata.
108,bagi,share,Kue ini harus dibagi rata.
109,bagi,to,Kue ini harus dibagi rata.
110,bagus,amazing,Lukisan ini sangat bagus.
111,bagus,awesome,Lukisan ini sangat bagus.
112,bagus,beautiful,Lukisan ini sangat bagus.
113,bagus,excellent,Lukisan ini sangat bagus.
114,bagus,fine,Lukisan ini sangat bagus.
115,bagus,good,Lukisan ini sangat bagus.
116,bagus,great,Lukisan ini sangat bagus.
117,bagus,nice,Lukisan ini sangat bagus.
118,bagus,wonderful,Lukisan ini sangat bagus.
119,bahagia,cheerful,Semoga kamu hidup bahagia selamanya.
120,bahagia,content,Semoga kamu hidup bahagia selamanya.
121,bahagia,happy,Semoga kamu hidup bahagia selamanya.
122,bahaya,challenge,"Jangan bermain di jalan, itu bahaya."
123,bahaya,danger,"Jangan bermain di jalan, itu bahaya."
124,bahaya,harm,"Jangan bermain di jalan, itu bahaya."
125,bahaya,hazard,"Jangan bermain di jalan, itu bahaya."
126,bahaya,risk,"Jangan bermain di jalan, itu bahaya."
127,baik,decent,Dia adalah orang yang sangat baik.
128,baik,good,Dia adalah orang yang sangat baik.
129,baik,kind,Dia adalah orang yang sangat baik.
130,baik,nice,Dia adalah orang yang sangat baik.
131,baik,okay,Dia adalah orang yang sangat baik.
132,baik,well,Dia adalah orang yang sangat baik.
133,ban,belt,Ban mobil saya bocor di jalan.
134,ban,tire,Ban mobil saya bocor di jalan.
135,bangga,proud,Saya bangga menjadi anak Indonesia.
136,bantu,assist,Bisakah kamu bantu saya mengangkat ini?
137,bantu,give a hand,Bisakah kamu bantu saya mengangkat ini?
138,bantu,help,Bisakah kamu bantu saya mengangkat ini?
139,bantu,lend a hand,Bisakah kamu bantu saya mengangkat ini?
140,batal,abandon,Rencana liburan kami batal karena hujan.
141,batal,call off,Rencana liburan kami batal karena hujan.
142,batal,cancel,Rencana liburan kami batal karena hujan.
143,batal,cancell,Rencana liburan kami batal karena hujan.
144,batal,invalid,Rencana liburan kami batal karena hujan.
145,batal,not happening,Rencana liburan kami batal karena hujan.
146,batas,border,Sungai ini adalah batas desa kami.
147,batas,boundary,Sungai ini adalah batas desa kami.
148,batas,bounds,Sungai ini adalah batas desa kami.
149,batas,limit,Sungai ini adalah batas desa kami.
150,batas,line,Sungai ini adalah batas desa kami.
151,bebas,candid,Burung itu terbang bebas di angkasa.
152,bebas,free,Burung itu terbang bebas di angkasa.
153,bebas,independent,Burung itu terbang bebas di angkasa.
154,bebas,open,Burung itu terbang bebas di angkasa.
155,beberapa,a bunch of,Saya punya beberapa pertanyaan untukmu.
156,beberapa,a number of,Saya punya beberapa pertanyaan untukmu.
157,beberapa,certain,Saya punya beberapa pertanyaan untukmu.
158,beberapa,couple,Saya punya beberapa pertanyaan untukmu.
159,beberapa,few,Saya punya beberapa pertanyaan untukmu.
160,beberapa,many,Saya punya beberapa pertanyaan untukmu.
161,beberapa,several,Saya punya beberapa pertanyaan untukmu.
162,beberapa,some,Saya punya beberapa pertanyaan untukmu.
163,bela,care,Pengacara itu berusaha bela kliennya.
164,bela,defend,Pengacara itu berusaha bela kliennya.
165,bela,protect,Pengacara itu berusaha bela kliennya.
166,belakang,back,Taman itu ada di belakang rumah.
167,belakang,behind,Taman itu ada di belakang rumah.
168,belakang,hind,Taman itu ada di belakang rumah.
169,belakang,rear,Taman itu ada di belakang rumah.
170,benar,accurate,Jawaban kamu benar semua.
171,benar,correct,Jawaban kamu benar semua.
172,benar,right,Jawaban kamu benar semua.
173,benar,TRUE,Jawaban kamu benar semua.
174,benar,valid,Jawaban kamu benar semua.
175,bencana,catastrophe,Gempa bumi adalah bencana alam.
176,bencana,disaster,Gempa bumi adalah bencana alam.
177,bencana,tragedy,Gempa bumi adalah bencana alam.
178,benci,abhor,Aku benci menunggu terlalu lama.
179,benci,can't stand,Aku benci menunggu terlalu lama.
180,benci,despise,Aku benci menunggu terlalu lama.
181,benci,detest,Aku benci menunggu terlalu lama.
182,benci,dislike,Aku benci menunggu terlalu lama.
183,benci,hate,Aku benci menunggu terlalu lama.
184,benci,loathe,Aku benci menunggu terlalu lama.
185,benci,resent,Aku benci menunggu terlalu lama.
186,berani,bold,Kamu harus berani menghadapi masalah.
187,berani,brave,Kamu harus berani menghadapi masalah.
188,berani,courageous,Kamu harus berani menghadapi masalah.
189,berani,daring,Kamu harus berani menghadapi masalah.
190,berani,gallant,Kamu harus berani menghadapi masalah.
191,berani,gutsy,Kamu harus berani menghadapi masalah.
192,berani,manly,Kamu harus berani menghadapi masalah.
193,berani,spunky,Kamu harus berani menghadapi masalah.
194,berani,tough,Kamu harus berani menghadapi masalah.
195,berani,valiant,Kamu harus berani menghadapi masalah.
196,berarti,counts,Diam bukan berarti setuju.
197,berarti,matters,Diam bukan berarti setuju.
198,berarti,meaningful,Diam bukan berarti setuju.
199,berarti,significant,Diam bukan berarti setuju.
200,berarti,useful,Diam bukan berarti setuju.
201,berarti,valuable,Diam bukan berarti setuju.
202,berat,complicated,Tas ini sangat berat.
203,berat,difficult,Tas ini sangat berat.
204,berat,heavy,Tas ini sangat berat.
205,berat,heft,Tas ini sangat berat.
206,berat,serious,Tas ini sangat berat.
207,berat,severe,Tas ini sangat berat.
208,berat,tough,Tas ini sangat berat.
209,berat,weight,Tas ini sangat berat.
210,berat,weighty,Tas ini sangat berat.
211,berbahaya,bad news,Zat kimia ini sangat berbahaya.
212,berbahaya,challenging,Zat kimia ini sangat berbahaya.
213,berbahaya,dangerous,Zat kimia ini sangat berbahaya.
214,berbahaya,deadly,Zat kimia ini sangat berbahaya.
215,berbahaya,fatal,Zat kimia ini sangat berbahaya.
216,berbahaya,harmful,Zat kimia ini sangat berbahaya.
217,berbahaya,hazardous,Zat kimia ini sangat berbahaya.
218,berbahaya,risky,Zat kimia ini sangat berbahaya.
219,berbahaya,threatening,Zat kimia ini sangat berbahaya.
220,berbahaya,unsafe,Zat kimia ini sangat berbahaya.
221,berdarah,bleed,Tangannya berdarah karena teriris pisau.
222,berdarah,bloody,Tangannya berdarah karena teriris pisau.
223,berdarah,gory,Tangannya berdarah karena teriris pisau.
224,berdoa,hope,Mari kita berdoa sebelum makan.
225,berdoa,pray,Mari kita berdoa sebelum makan.
226,berdoa,worship,Mari kita berdoa sebelum makan.
227,berduka,mourn,Kami turut berduka cita atas kepergiannya.
228,berduka,sorrow,Kami turut berduka cita atas kepergiannya.
229,berguna,beneficial,Alat ini sangat berguna untuk memasak.
230,berguna,handy,Alat ini sangat berguna untuk memasak.
231,berguna,helpful,Alat ini sangat berguna untuk memasak.
232,berguna,of use,Alat ini sangat berguna untuk memasak.
233,berguna,useful,Alat ini sangat berguna untuk memasak.
234,berhak,entitled,Setiap orang berhak mendapatkan pendidikan.
235,berhak,have the right to,Setiap orang berhak mendapatkan pendidikan.
236,berhak,reserve the right to,Setiap orang berhak mendapatkan pendidikan.
237,berhak,rightful,Setiap orang berhak mendapatkan pendidikan.
238,berharap,cross fingers,Saya berharap besok cuaca cerah.
239,berharap,expect,Saya berharap besok cuaca cerah.
240,berharap,hope,Saya berharap besok cuaca cerah.
241,beri,berry,Tolong beri saya kesempatan kedua.
242,beri,give,Tolong beri saya kesempatan kedua.
243,berkomitmen,commited,Kami berkomitmen untuk menyelesaikan proyek ini.
244,berkomitmen,committed,Kami berkomitmen untuk menyelesaikan proyek ini.
245,berlebihan,excessive,Jangan bereaksi berlebihan terhadap masalah kecil.
246,berlebihan,obsessive,Jangan bereaksi berlebihan terhadap masalah kecil.
247,berlebihan,overkill,Jangan bereaksi berlebihan terhadap masalah kecil.
248,berlebihan,too much,Jangan bereaksi berlebihan terhadap masalah kecil.
249,bermanfaat,advantageous,Olahraga sangat bermanfaat bagi kesehatan.
250,bermanfaat,benefecial,Olahraga sangat bermanfaat bagi kesehatan.
251,bermanfaat,beneficial,Olahraga sangat bermanfaat bagi kesehatan.
252,bermanfaat,fruitful,Olahraga sangat bermanfaat bagi kesehatan.
253,bermanfaat,helpful,Olahraga sangat bermanfaat bagi kesehatan.
254,bermanfaat,of use,Olahraga sangat bermanfaat bagi kesehatan.
255,bermanfaat,productive,Olahraga sangat bermanfaat bagi kesehatan.
256,bermanfaat,useful,Olahraga sangat bermanfaat bagi kesehatan.
257,bermanfaat,worthwhile,Olahraga sangat bermanfaat bagi kesehatan.
258,bersaing,compete,Perusahaan ini siap bersaing di pasar global.
259,bersaing,competitive,Perusahaan ini siap bersaing di pasar global.
260,bersaing,contend,Perusahaan ini siap bersaing di pasar global.
261,bersaing,face off,Perusahaan ini siap bersaing di pasar global.
262,bersama,in collaboration with,Kita akan pergi ke sana bersama.
263,bersama,in conjunction with,Kita akan pergi ke sana bersama.
264,bersama,together,Kita akan pergi ke sana bersama.
265,bersama,together with,Kita akan pergi ke sana bersama.
266,bersama,with,Kita akan pergi ke sana bersama.
267,bersedih,grieve,"Jangan bersedih, semua akan baik-baik saja."
268,bersedih,heartbroken,"Jangan bersedih, semua akan baik-baik saja."
269,bersedih,mourn,"Jangan bersedih, semua akan baik-baik saja."
270,bersedih,sad,"Jangan bersedih, semua akan baik-baik saja."
271,bersembunyi,hide,Kucing itu bersembunyi di bawah mobil.
272,bersembunyi,hiding,Kucing itu bersembunyi di bawah mobil.
273,bersembunyi,lurking,Kucing itu bersembunyi di bawah mobil.
274,bersembunyi,lying low,Kucing itu bersembunyi di bawah mobil.
275,bersembunyi,sheltering,Kucing itu bersembunyi di bawah mobil.
276,bersorak,cheer,Penonton bersorak saat gol tercipta.
277,bersorak,cheering,Penonton bersorak saat gol tercipta.
278,bersorak,screaming,Penonton bersorak saat gol tercipta.
279,bersorak,shout,Penonton bersorak saat gol tercipta.
280,bersorak,shouting,Penonton bersorak saat gol tercipta.
281,bersorak,squealing,Penonton bersorak saat gol tercipta.
282,bersorak,yelling,Penonton bersorak saat gol tercipta.
283,besar,big,Rumah itu sangat besar dan mewah.
284,besar,bug,Rumah itu sangat besar dan mewah.
285,besar,bulky,Rumah itu sangat besar dan mewah.
286,besar,enormous,Rumah itu sangat besar dan mewah.
287,besar,grand,Rumah itu sangat besar dan mewah.
288,besar,great,Rumah itu sangat besar dan mewah.
289,besar,huge,Rumah itu sangat besar dan mewah.
290,besar,humongous,Rumah itu sangat besar dan mewah.
291,besar,large,Rumah itu sangat besar dan mewah.
292,besar,major,Rumah itu sangat besar dan mewah.
293,besar,significant,Rumah itu sangat besar dan mewah.
294,besar,substantial,Rumah itu sangat besar dan mewah.
295,biadab,animalistic,Perlakuan itu sangat biadab.
296,biadab,barbaric,Perlakuan itu sangat biadab.
297,biadab,inhuman,Perlakuan itu sangat biadab.
298,biadab,savage,Perlakuan itu sangat biadab.
299,biadab,uncivilized,Perlakuan itu sangat biadab.
300,biadab,uneducated,Perlakuan itu sangat biadab.
301,biadab,wild,Perlakuan itu sangat biadab.
302,biaya,charge,Biaya sekolah semakin mahal.
303,biaya,cost,Biaya sekolah semakin mahal.
304,biaya,expense,Biaya sekolah semakin mahal.
305,biaya,fee,Biaya sekolah semakin mahal.
306,biaya,money,Biaya sekolah semakin mahal.
307,biaya,price,Biaya sekolah semakin mahal.
308,bingung,baffled,Saya bingung harus memilih yang mana.
309,bingung,confuse,Saya bingung harus memilih yang mana.
310,bingung,confused,Saya bingung harus memilih yang mana.
311,bingung,perplexed,Saya bingung harus memilih yang mana.
312,bingung,puzzled,Saya bingung harus memilih yang mana.
313,bodoh,braindead,Jangan melakukan hal bodoh.
314,bodoh,brainless,Jangan melakukan hal bodoh.
315,bodoh,dense,Jangan melakukan hal bodoh.
316,bodoh,dumb,Jangan melakukan hal bodoh.
317,bodoh,fool,Jangan melakukan hal bodoh.
318,bodoh,foolish,Jangan melakukan hal bodoh.
319,bodoh,idiot,Jangan melakukan hal bodoh.
320,bodoh,ignorant,Jangan melakukan hal bodoh.
321,bodoh,silly,Jangan melakukan hal bodoh.
322,bodoh,stupid,Jangan melakukan hal bodoh.
323,bohong,deceive,Jangan suka bicara bohong.
324,bohong,fabricate,Jangan suka bicara bohong.
325,bohong,lie,Jangan suka bicara bohong.
326,bom,bomb,Polisi berhasil menjinakkan bom itu.
327,bom,explosive,Polisi berhasil menjinakkan bom itu.
328,buka,open,Tolong buka pintunya.
329,bunga,flora,Bunga mawar itu sangat harum.
330,bunga,flower,Bunga mawar itu sangat harum.
331,bunga,interest,Bunga mawar itu sangat harum.
332,bungkam,quiet,Dia memilih bungkam saat ditanya wartawan.
333,bungkam,silence,Dia memilih bungkam saat ditanya wartawan.
334,bungkam,silent,Dia memilih bungkam saat ditanya wartawan.
335,bunuh,assassinate,Merokok dapat membunuhmu secara perlahan.
336,bunuh,cut,Merokok dapat membunuhmu secara perlahan.
337,bunuh,kill,Merokok dapat membunuhmu secara perlahan.
338,bunuh,murder,Merokok dapat membunuhmu secara perlahan.
339,bunuh,off,Merokok dapat membunuhmu secara perlahan.
340,bunuh,slay,Merokok dapat membunuhmu secara perlahan.
341,bunuh,snuff,Merokok dapat membunuhmu secara perlahan.
342,bunuh diri,kill oneself,Masalah depresi bisa memicu bunuh diri.
343,bunuh diri,suicide,Masalah depresi bisa memicu bunuh diri.
344,buruk,awful,Cuaca hari ini sangat buruk.
345,buruk,bad,Cuaca hari ini sangat buruk.
346,buruk,bad,Cuaca hari ini sangat buruk.
347,buruk,foul,Cuaca hari ini sangat buruk.
348,buruk,horrible,Cuaca hari ini sangat buruk.
349,buruk,ill,Cuaca hari ini sangat buruk.
350,buruk,nasty,Cuaca hari ini sangat buruk.
351,buruk,poor,Cuaca hari ini sangat buruk.
352,buruk,rotten,Cuaca hari ini sangat buruk.
353,buruk,terrible,Cuaca hari ini sangat buruk.
354,buruk,ugly,Cuaca hari ini sangat buruk.
355,buta,blind,Cinta itu buta.
356,buta,eyeless,Cinta itu buta.
357,buta,sightless,Cinta itu buta.
358,cantik,attractive,Pemandangan di pantai ini sangat cantik.
359,cantik,beautiful,Pemandangan di pantai ini sangat cantik.
360,cantik,fair,Pemandangan di pantai ini sangat cantik.
361,cantik,lovely,Pemandangan di pantai ini sangat cantik.
362,cantik,pretty,Pemandangan di pantai ini sangat cantik.
363,capai,achieve,Saya merasa sangat capai setelah bekerja seharian.
364,capai,achieved,Saya merasa sangat capai setelah bekerja seharian.
365,capai,reach,Saya merasa sangat capai setelah bekerja seharian.
366,capai,tired,Saya merasa sangat capai setelah bekerja seharian.
367,capai,weary,Saya merasa sangat capai setelah bekerja seharian.
368,cari,explore,Saya sedang cari kunci motor yang hilang.
369,cari,look for,Saya sedang cari kunci motor yang hilang.
370,cari,search,Saya sedang cari kunci motor yang hilang.
371,cari,seek,Saya sedang cari kunci motor yang hilang.
372,cedera,injured,Pemain itu mengalami cedera lutut.
373,cedera,injury,Pemain itu mengalami cedera lutut.
374,cegah,prevent,Kita harus cegah penyebaran virus ini.
375,cegah,stop,Kita harus cegah penyebaran virus ini.
376,cemas,anxious,Ibu terlihat cemas menunggu kabar adik.
377,cemas,concerned,Ibu terlihat cemas menunggu kabar adik.
378,cemas,on edge,Ibu terlihat cemas menunggu kabar adik.
379,cemas,worried,Ibu terlihat cemas menunggu kabar adik.
380,cepat,fast,Kereta ini melaju dengan sangat cepat.
381,cepat,hurry,Kereta ini melaju dengan sangat cepat.
382,cepat,nimble,Kereta ini melaju dengan sangat cepat.
383,cepat,prompt,Kereta ini melaju dengan sangat cepat.
384,cepat,quick,Kereta ini melaju dengan sangat cepat.
385,cepat,rapid,Kereta ini melaju dengan sangat cepat.
386,cepat,snappy,Kereta ini melaju dengan sangat cepat.
387,cepat,speedy,Kereta ini melaju dengan sangat cepat.
388,cepat,swift,Kereta ini melaju dengan sangat cepat.
389,cerdas,astute,Anak itu sangat cerdas di bidang matematika.
390,cerdas,big-brained,Anak itu sangat cerdas di bidang matematika.
391,cerdas,brainy,Anak itu sangat cerdas di bidang matematika.
392,cerdas,bright,Anak itu sangat cerdas di bidang matematika.
393,cerdas,brilliant,Anak itu sangat cerdas di bidang matematika.
394,cerdas,clever,Anak itu sangat cerdas di bidang matematika.
395,cerdas,intelligent,Anak itu sangat cerdas di bidang matematika.
396,cerdas,sharp,Anak itu sangat cerdas di bidang matematika.
397,cerdas,sharp-witted,Anak itu sangat cerdas di bidang matematika.
398,cerdas,shrewd,Anak itu sangat cerdas di bidang matematika.
399,cerdas,smart,Anak itu sangat cerdas di bidang matematika.
400,cinta,love,Aku cinta masakan ibu.
401,cium,kiss,Ibu cium kening anaknya sebelum tidur.
402,cium,smell,Ibu cium kening anaknya sebelum tidur.
403,cium,smooch,Ibu cium kening anaknya sebelum tidur.
404,cium,sniff,Ibu cium kening anaknya sebelum tidur.
405,cocok,appropriate,Baju ini sangat cocok untukmu.
406,cocok,compatible,Baju ini sangat cocok untukmu.
407,cocok,correct,Baju ini sangat cocok untukmu.
408,cocok,fit,Baju ini sangat cocok untukmu.
409,cocok,match,Baju ini sangat cocok untukmu.
410,cocok,right,Baju ini sangat cocok untukmu.
411,cocok,suitable,Baju ini sangat cocok untukmu.
412,copet,pickpocket,Hati-hati ada copet di pasar.
413,copet,purse snatcher,Hati-hati ada copet di pasar.
414,copet,thief,Hati-hati ada copet di pasar.
415,damai,peace,Semoga dunia ini selalu damai.
416,damai,peaceful,Semoga dunia ini selalu damai.
417,dapat,able,Saya dapat hadiah ulang tahun.
418,dapat,acquire,Saya dapat hadiah ulang tahun.
419,dapat,can,Saya dapat hadiah ulang tahun.
420,dapat,get,Saya dapat hadiah ulang tahun.
421,dapat,have,Saya dapat hadiah ulang tahun.
422,dapat,obtain,Saya dapat hadiah ulang tahun.
423,dapat,receive,Saya dapat hadiah ulang tahun.
424,daya,energy,Baterai ini sudah habis daya.
425,daya,power,Baterai ini sudah habis daya.
426,daya,strength,Baterai ini sudah habis daya.
427,diabaikan,abandoned,Masalah kecil seringkali diabaikan.
428,diabaikan,disregarded,Masalah kecil seringkali diabaikan.
429,diabaikan,ignored,Masalah kecil seringkali diabaikan.
430,diabaikan,left,Masalah kecil seringkali diabaikan.
431,diam,idle,Tolong diam sebentar.
432,diam,quiet,Tolong diam sebentar.
433,diam,silent,Tolong diam sebentar.
434,diancam,intimidated,Dia merasa diancam oleh orang tak dikenal.
435,diancam,threatened,Dia merasa diancam oleh orang tak dikenal.
436,dibersihkan,cleaned,Kamar ini harus segera dibersihkan.
437,dibersihkan,taken care of,Kamar ini harus segera dibersihkan.
438,dibersihkan,tidied,Kamar ini harus segera dibersihkan.
439,dicuri,snatched,Dompetnya dicuri saat di bus.
440,dicuri,stolen,Dompetnya dicuri saat di bus.
441,dihukum,punished,Pelaku kejahatan harus dihukum setimpal.
442,dikalahkan,beaten,Tim lawan berhasil dikalahkan.
443,dikalahkan,defeated,Tim lawan berhasil dikalahkan.
444,dikalahkan,outmatched,Tim lawan berhasil dikalahkan.
445,dikalahkan,outplayed,Tim lawan berhasil dikalahkan.
446,dipercaya,trusted,Dia adalah orang yang bisa dipercaya.
447,dipermalukan,humiliated,Jangan sampai kita dipermalukan di depan umum.
448,dipertanyakan,put into question,Keputusannya patut dipertanyakan.
449,dipertanyakan,questionable,Keputusannya patut dipertanyakan.
450,dipertanyakan,questioned,Keputusannya patut dipertanyakan.
451,diprovokasi,aggravated,Jangan mudah diprovokasi oleh berita bohong.
452,diprovokasi,agitated,Jangan mudah diprovokasi oleh berita bohong.
453,diprovokasi,provocated,Jangan mudah diprovokasi oleh berita bohong.
454,diprovokasi,provoked,Jangan mudah diprovokasi oleh berita bohong.
455,diprovokasi,riled up,Jangan mudah diprovokasi oleh berita bohong.
456,disebut-sebut,mentioned,Namanya sering disebut-sebut sebagai pemenang.
457,disebut-sebut,rumored,Namanya sering disebut-sebut sebagai pemenang.
458,disebut-sebut,said,Namanya sering disebut-sebut sebagai pemenang.
459,ditakuti,feared,Singa adalah hewan yang ditakuti di hutan.
460,ditakuti,infamous,Singa adalah hewan yang ditakuti di hutan.
461,ditakuti,scared,Singa adalah hewan yang ditakuti di hutan.
462,ditangkap,apprehended,Pencuri itu berhasil ditangkap polisi.
463,ditangkap,arrested,Pencuri itu berhasil ditangkap polisi.
464,ditangkap,captured,Pencuri itu berhasil ditangkap polisi.
465,ditangkap,detained,Pencuri itu berhasil ditangkap polisi.
466,ditangkap,imprisoned,Pencuri itu berhasil ditangkap polisi.
467,ditangkap,incarcerated,Pencuri itu berhasil ditangkap polisi.
468,ditangkap,jailed,Pencuri itu berhasil ditangkap polisi.
469,ditangkap,restrained,Pencuri itu berhasil ditangkap polisi.
470,ditangkap,secured,Pencuri itu berhasil ditangkap polisi.
471,ditangkap,seized,Pencuri itu berhasil ditangkap polisi.
472,diteror,intimidated,Warga desa merasa diteror oleh hewan buas.
473,diteror,terrorized,Warga desa merasa diteror oleh hewan buas.
474,ditinggalkan,abandoned,Rumah tua itu sudah lama ditinggalkan.
475,ditinggalkan,discarded,Rumah tua itu sudah lama ditinggalkan.
476,ditinggalkan,dropped,Rumah tua itu sudah lama ditinggalkan.
477,ditinggalkan,left,Rumah tua itu sudah lama ditinggalkan.
478,ditinggalkan,left behind,Rumah tua itu sudah lama ditinggalkan.
479,ditinggalkan,neglected,Rumah tua itu sudah lama ditinggalkan.
480,ditingkatkan,enhanced,Kualitas pelayanan harus ditingkatkan.
481,ditingkatkan,improved,Kualitas pelayanan harus ditingkatkan.
482,ditingkatkan,increased,Kualitas pelayanan harus ditingkatkan.
483,ditingkatkan,upgraded,Kualitas pelayanan harus ditingkatkan.
484,dituduh,accused,Dia dituduh mencuri padahal tidak melakukannya.
485,dituduh,charged,Dia dituduh mencuri padahal tidak melakukannya.
486,ditunda,adjourned,Pertandingan bola ditunda karena hujan lebat.
487,ditunda,delayed,Pertandingan bola ditunda karena hujan lebat.
488,ditunda,postponed,Pertandingan bola ditunda karena hujan lebat.
489,doa,prayer,Ibu selalu mengirimkan doa untuk anak-anaknya.
